epoch,loss,val_loss
102,2.052957825071644e-05,3.170218042214401e-05
103,1.939646062965039e-05,3.209396527381614e-05
104,1.7759763068170287e-05,3.415090759517625e-05
105,1.8161601474275813e-05,2.9937193176010624e-05
106,2.0233697796356864e-05,3.4146174584748223e-05
107,1.9578867068048567e-05,3.1377778213936836e-05
108,1.8680000721360557e-05,3.391772406757809e-05
109,1.8042306692223065e-05,2.991397923324257e-05
110,1.7145246602012776e-05,2.9660439395229332e-05
111,1.9535427782102488e-05,3.054969783988781e-05
112,1.7661734091234393e-05,3.548379390849732e-05
113,2.1260979337967e-05,3.0487335607176647e-05
114,1.8349208403378725e-05,2.9625325623783283e-05
115,1.807015541999135e-05,3.0040375349926762e-05
116,1.8839769836631604e-05,2.941719867521897e-05
117,1.8077853383147158e-05,3.187141555827111e-05
118,1.7460473827668466e-05,2.944520747405477e-05
119,1.8180120605393313e-05,3.0235740268835798e-05
120,1.819987483031582e-05,2.914679134846665e-05
121,1.8722901586443186e-05,2.8625048798858188e-05
122,1.9034492652281187e-05,3.816917887888849e-05
123,2.1793408450321294e-05,3.122798807453364e-05
124,2.0595573005266488e-05,2.908131864387542e-05
125,2.1423495127237402e-05,2.8710999686154537e-05
126,2.0733305063913576e-05,4.1598828829592094e-05
127,1.889359555207193e-05,2.8751728677889332e-05
128,1.7340209524263628e-05,2.935822521976661e-05
129,1.7292588381678797e-05,2.893329474318307e-05
130,1.732444070512429e-05,2.8397238565958105e-05
131,1.7944987121154554e-05,2.8324464437901042e-05
132,1.759820406732615e-05,2.830173798429314e-05
133,1.6187201254069805e-05,2.914503238571342e-05
134,1.6379886801587418e-05,2.9327515221666545e-05
135,1.7195407053804956e-05,2.9564076612587087e-05
136,1.6303607480949722e-05,2.8050451874150895e-05
137,1.6230431356234476e-05,2.8418344300007448e-05
138,1.635882472328376e-05,2.920446240750607e-05
139,1.7552225472172722e-05,2.7949732611887157e-05
140,1.8262742742081173e-05,3.991298217442818e-05
141,2.2067710233386606e-05,2.9696704586967826e-05
142,1.7727525118971244e-05,3.14402932417579e-05
143,1.709297976049129e-05,3.080839815083891e-05
144,1.7393536836607382e-05,2.9817718314006925e-05
145,1.654317748034373e-05,2.7324073016643524e-05
146,1.6930021956795827e-05,2.7275391403236426e-05
147,1.8678585547604598e-05,3.1887582736089826e-05
148,1.7717149603413418e-05,2.985147511935793e-05
149,1.67496928042965e-05,2.7052141376771033e-05
150,1.592865737620741e-05,2.9397620892268606e-05
151,1.7515070794615895e-05,2.779753049253486e-05
152,1.6147141650435515e-05,2.8162392482045107e-05
153,1.7181300790980458e-05,2.7697980840457603e-05
154,1.7694277630653232e-05,2.828357719408814e-05
155,1.6371728634112515e-05,2.6985255317413248e-05
156,1.6480153135489672e-05,2.7195244911126792e-05
157,1.8587737940833904e-05,2.813985338434577e-05
158,1.6739795682951808e-05,2.9737881050095893e-05
159,2.0500954633462243e-05,2.6304158382117748e-05
160,1.8478367564966902e-05,3.2624215236864984e-05
161,1.7692425899440423e-05,4.009346594102681e-05
162,1.762957799655851e-05,2.966373176604975e-05
163,1.8491035007173195e-05,3.33713433064986e-05
164,1.5905030522844754e-05,2.6310170142096467e-05
165,1.5331286704167724e-05,2.679702447494492e-05
166,1.5780882677063346e-05,2.7355996280675754e-05
167,1.6279132978525013e-05,2.6742543923319317e-05
168,1.7323454812867567e-05,2.6490624804864638e-05
169,1.847043495217804e-05,2.7644040528684855e-05
